ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
91411,44.7%,6 8,0.0%,4 7,-16.1%,4 7,1.8%,5 6,5 5
91423,18.6%,6 56,15.2%,5 53,16.8%,4 80,25.7%,4 11,3 27
91436,122.8%,6 55,36.7%,2 94,20.1%,2 15,49.2%,1 79,1 20
91501,75.5%,2 44,3.7%,1 39,-2.9%,1 34,-2.1%,1 38,1 41
91502,25.0%,1 5,20.0%,1 2,11.1%,1 0,-18.2%,9,1 1
91504,81.5%,2 85,23.6%,1 57,-3.8%,1 27,6.5%,1 32,1 24
91505,37.7%,9 5,4.5%,6 9,-10.8%,6 6,-5.1%,7 4,7 8
91506,34.6%,7 0,10.6%,5 2,9.3%,4 7,-4.4%,4 3,4 5
91601,3.1%,1 31,-1.6%,1 27,-5.8%,1 29,-2.8%,1 37,1 41
91602,103.7%,5 5,35.0%,2 7,5.3%,2 0,0.0%,1 9,1 9
91604,28.4%,7 77,9.6%,6 05,15.0%,5 52,31.9%,4 80,3 64
91605,9.6%,3 21,4.3%,2 93,-6.3%,2 81,-6.5%,3 00,3 21
91606,6.3%,2 37,-4.3%,2 23,-9.7%,2 33,4.5%,2 58,2 47
91607,81.3%,5 8,-17.9%,3 2,8.3%,3 9,-10.0%,3 6,4 0
91702,36.2%,4 18,10.4%,3 07,-4.1%,2 78,-2.4%,2 90,2 97
91706,7.3%,5 15,1.7%,4 80,-7.1%,4 72,-8.6%,5 08,5 56
91711,73.1%,2 32,28.8%,1 34,-1.0%,1 04,10.5%,1 05,9 5
91722,19.6%,1 34,2.8%,1 12,-9.2%,1 09,-4.8%,1 20,1 26
91723,45.5%,4 8,3.1%,3 3,3.2%,3 2,-16.2%,3 1,3 7
91724,26.8%,1 56,10.8%,1 23,-2.6%,1 11,-0.9%,1 14,1 15
91731,12.3%,1 92,4.9%,1 71,-2.4%,1 63,-2.9%,1 67,1 72
91732,16.4%,3 54,2.0%,3 04,-1.3%,2 98,-9.9%,3 02,3 35
91733,3.0%,2 74,6.0%,2 66,-4.6%,2 51,-3.7%,2 63,2 73
91740,75.0%,1 12,16.4%,6 4,7.8%,5 5,-12.1%,5 1,5 8
91741,56.6%,4 18,24.8%,2 67,3.4%,2 14,6.7%,2 07,1 94
91744,11.7%,6 76,1.3%,6 05,-7.3%,5 97,-3.2%,6 44,6 65
91745,45.7%,5 99,10.2%,4 11,1.9%,3 73,3.1%,3 66,3 55
91746,6.8%,2 50,6.4%,2 34,-3.5%,2 20,-2.6%,2 28,2 34
91748,84.6%,4 19,23.4%,2 27,2.2%,1 84,5.9%,1 80,1 70
91750,125.4%,4 80,32.3%,2 13,15.8%,1 61,3.0%,1 39,1 35
91754,16.7%,1 19,10.9%,1 02,-7.1%,9 2,-1.0%,9 9,1 00
91755,36.8%,1 04,22.6%,7 6,-3.1%,6 2,0.0%,6 4,6 4
91765,72.3%,9 84,17.5%,5 71,6.8%,4 86,24.7%,4 55,3 65
91766,24.9%,5 26,4.7%,4 21,-6.3%,4 02,-4.0%,4 29,4 47
91767,19.4%,2 46,-1.4%,2 06,-4.6%,2 09,-7.2%,2 19,2 36
91768,9.7%,1 93,-2.8%,1 76,-7.2%,1 81,-8.0%,1 95,2 12
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
91770,12.0%,3 54,7.1%,3 16,3.1%,2 95,-3.1%,2 86,2 95
91773,64.4%,4 16,31.8%,2 53,9.1%,1 92,1.7%,1 76,1 73
91775,44.2%,7 5,20.9%,5 2,0.0%,4 3,-17.3%,4 3,5 2
91776,18.6%,1 72,9.8%,1 45,3.1%,1 32,-15.8%,1 28,1 52
91780,43.4%,1 42,13.8%,9 9,-9.4%,8 7,-5.0%,9 6,1 01
91789,85.7%,4 03,19.9%,2 17,5.2%,1 81,-3.9%,1 72,1 79
91790,25.5%,1 82,-5.2%,1 45,-8.4%,1 53,-6.7%,1 67,1 79
91791,67.0%,1 92,8.5%,1 15,1.0%,1 06,-11.8%,1 05,1 19
91792,58.6%,1 11,18.6%,7 0,-14.5%,5 9,-13.8%,6 9,8 0
91801,13.1%,1 98,7.4%,1 75,-5.8%,1 63,-7.5%,1 73,1 87
91803,26.8%,1 61,0.8%,1 27,-5.3%,1 26,-5.7%,1 33,1 41
93510,74.1%,7 61,43.3%,4 37,53.3%,3 05,25.2%,1 99,1 59
93532,19.1%,5 11,13.8%,4 29,30.9%,3 77,37.1%,2 88,2 10
93534,98.7%,1 55,52.9%,7 8,-5.6%,5 1,-8.5%,5 4,5 9
93535,114.4%,3 86,33.3%,1 80,-2.9%,1 35,11.2%,1 39,1 25
93536,98.6%,2 84,34.9%,1 43,-0.9%,1 06,10.3%,1 07,9 7
93543,82.8%,1 81,76.8%,9 9,1.8%,5 6,-3.5%,5 5,5 7
93544,44.7%,5 5,18.8%,3 8,6.7%,3 2,20.0%,3 0,2 5
93550,124.0%,5 22,17.1%,2 33,4.2%,1 99,13.0%,1 91,1 69
93551,76.7%,7 44,50.9%,4 21,22.4%,2 79,26.7%,2 28,1 80
93552,93.3%,2 30,58.7%,1 19,2.7%,7 5,4.3%,7 3,7 0
93553,77.5%,7 1,100.0%,4 0,11.1%,2 0,12.5%,1 8,1 6
93563,0.0%,1 0,25.0%,1 0,33.3%,8,20.0%,6,5
93591,67.6%,6 2,48.0%,3 7,13.6%,2 5,-8.3%,2 2,2 4
93601,28.9%,3 08,16.0%,2 39,46.1%,2 06,31.8%,1 41,1 07
93604,17.8%,4 90,9.8%,4 16,51.0%,3 79,46.8%,2 51,1 71
93610,0.0%,1 7,70.0%,1 7,150.0%,1 0,0.0%,4,4
93614,38.2%,"1 ,412",23.0%,"1 ,022",54.2%,8 31,36.5%,5 39,3 95
93636,111.4%,7 4,150.0%,3 5,7.7%,1 4,333.3%,1 3,3
93637,117.6%,3 7,21.4%,1 7,40.0%,1 4,11.1%,1 0,9
93638,80.0%,9 0,78.6%,5 0,100.0%,2 8,0.0%,1 4,1 4
93643,1.8%,6 09,6.0%,5 98,11.2%,5 64,18.5%,5 07,4 28
93644,36.9%,"1 ,350",13.9%,9 86,38.3%,8 66,34.3%,6 26,4 66
93645,46.7%,4 4,0.0%,3 0,36.4%,3 0,10.0%,2 2,2 0
93653,30.3%,9 9,18.8%,7 6,12.3%,6 4,103.6%,5 7,2 8
93669,-1.8%,1 09,0.9%,1 11,8.9%,1 10,18.8%,1 01,8 5
94901,163.3%,1 58,140.0%,6 0,8.7%,2 5,35.3%,2 3,1 7
94903,396.0%,1 24,56.3%,2 5,166.7%,1 6,0.0%,6,6
94904,104.8%,8 6,31.3%,4 2,-3.0%,3 2,135.7%,3 3,1 4
94920,117.4%,5 0,64.3%,2 3,-12.5%,1 4,33.3%,1 6,1 2
94924,40.0%,2 1,66.7%,1 5,125.0%,9,0.0%,4,4
94925,107.3%,8 5,36.7%,4 1,42.9%,3 0,50.0%,2 1,1 4
94929,150.0%,1 5,50.0%,6,33.3%,4,-25.0%,3,4
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
94930,101.1%,1 79,58.9%,8 9,55.6%,5 6,44.0%,3 6,2 5
94933,6.5%,4 9,58.6%,4 6,20.8%,2 9,26.3%,2 4,1 9
94937,7.1%,2 70,21.7%,2 52,19.7%,2 07,31.1%,1 73,1 32
94938,65.4%,4 3,18.2%,2 6,37.5%,2 2,77.8%,1 6,9
94939,152.9%,8 6,36.0%,3 4,78.6%,2 5,40.0%,1 4,1 0
94940,28.6%,1 8,27.3%,1 4,37.5%,1 1,0.0%,8,8
94941,80.5%,5 65,23.2%,3 13,14.4%,2 54,25.4%,2 22,1 77
94945,168.3%,1 10,86.4%,4 1,37.5%,2 2,433.3%,1 6,3
94946,2.7%,3 8,19.4%,3 7,138.5%,3 1,44.4%,1 3,9
94947,244.4%,1 24,100.0%,3 6,200.0%,1 8,0.0%,6,6
94949,304.0%,1 01,31.6%,2 5,90.0%,1 9,233.3%,1 0,3
94956,6.3%,5 1,37.1%,4 8,40.0%,3 5,78.6%,2 5,1 4
94957,141.7%,2 9,140.0%,1 2,-16.7%,5,500.0%,6,1
94960,188.6%,1 27,120.0%,4 4,33.3%,2 0,50.0%,1 5,1 0
94963,125.0%,1 8,14.3%,8,40.0%,7,66.7%,5,3
94965,10.7%,3 31,-0.3%,2 99,0.3%,3 00,7.9%,2 99,2 77
94970,93.8%,3 1,60.0%,1 6,66.7%,1 0,200.0%,6,2
94971,0.0%,3,0.0%,3,50.0%,3,0.0%,2,-
94973,-3.7%,5 2,58.8%,5 4,21.4%,3 4,21.7%,2 8,2 3
93623,2.8%,7 3,2.9%,7 1,16.9%,6 9,22.9%,5 9,4 8
95306,78.5%,1 16,4.8%,6 5,63.2%,6 2,153.3%,3 8,1 5
95311,9.6%,3 76,3.9%,3 43,14.6%,3 30,25.8%,2 88,2 29
95318,16.3%,5 7,11.4%,4 9,51.7%,4 4,20.8%,2 9,2 4
95338,24.9%,"1 ,922",8.8%,"1 ,539",49.8%,"1 ,414",37.2%,9 44,6 88
95345,22.0%,1 50,9.8%,1 23,14.3%,1 12,16.7%,9 8,8 4
95389,7.1%,2 85,2.3%,2 66,17.6%,2 60,55.6%,2 21,1 42
95410,31.5%,7 1,38.5%,5 4,39.3%,3 9,47.4%,2 8,1 9
95415,58.3%,7 6,50.0%,4 8,-5.9%,3 2,126.7%,3 4,1 5
95417,0.0%,9,28.6%,9,75.0%,7,33.3%,4,3
95420,31.6%,2 5,72.7%,1 9,57.1%,1 1,40.0%,7,5
95427,13.3%,1 7,25.0%,1 5,9.1%,1 2,10.0%,1 1,1 0
95428,0.0%,4 5,25.0%,4 5,-10.0%,3 6,5.3%,4 0,3 8
95429,31.3%,2 1,0.0%,1 6,0.0%,1 6,6.7%,1 6,1 5
95432,15.0%,2 3,0.0%,2 0,33.3%,2 0,114.3%,1 5,7
95437,113.3%,3 05,52.1%,1 43,56.7%,9 4,17.6%,6 0,5 1
95445,36.7%,3 02,43.5%,2 21,65.6%,1 54,55.0%,9 3,6 0
95449,4.9%,6 4,134.6%,6 1,44.4%,2 6,50.0%,1 8,1 2
95454,2.1%,1 43,4.5%,1 40,11.7%,1 34,20.0%,1 20,1 00
95456,88.4%,1 30,56.8%,6 9,69.2%,4 4,52.9%,2 6,1 7
95459,58.8%,5 4,41.7%,3 4,26.3%,2 4,26.7%,1 9,1 5
95460,96.7%,1 18,30.4%,6 0,39.4%,4 6,26.9%,3 3,2 6
95463,0.0%,2 0,0.0%,-,0.0%,-,0.0%,-,-
95466,22.7%,8 1,57.1%,6 6,40.0%,4 2,130.8%,3 0,1 3
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 17,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95468,82.6%,4 2,35.3%,2 3,142.9%,1 7,75.0%,7,4
95469,16.5%,1 55,40.0%,1 33,4.4%,9 5,26.4%,9 1,7 2
95470,67.7%,2 18,49.4%,1 30,11.5%,8 7,14.7%,7 8,6 8
95482,107.0%,8 24,66.5%,3 98,27.1%,2 39,50.4%,1 88,1 25
95488,10.0%,2 2,81.8%,2 0,0.0%,1 1,57.1%,1 1,7
95490,15.1%,8 53,22.9%,7 41,23.3%,6 03,31.5%,4 89,3 72
95494,2.3%,4 5,46.7%,4 4,42.9%,3 0,90.9%,2 1,1 1
95585,17.6%,2 0,112.5%,1 7,33.3%,8,0.0%,6,6
95587,15.4%,1 5,44.4%,1 3,-30.8%,9,-13.3%,1 3,1 5
93620,40.0%,7,66.7%,5,50.0%,3,100.0%,2,1
93635,60.0%,1 6,66.7%,1 0,0.0%,6,20.0%,6,5
95301,71.4%,1 2,0.0%,7,-22.2%,7,28.6%,9,7
95303,0.0%,1,0.0%,1,0.0%,1,0.0%,1,1
95315,1200.0%,1 3,0.0%,1,0.0%,-,0.0%,-,-
95317,0.0%,7,0.0%,7,-100.0%,-,0.0%,1,1
95322,433.3%,1 6,200.0%,3,0.0%,1,0.0%,1,1
95324,100.0%,2,0.0%,1,0.0%,1,0.0%,-,-
95333,150.0%,5,100.0%,2,0.0%,1,0.0%,-,-
95334,100.0%,1 0,0.0%,5,0.0%,5,66.7%,5,3
95340,92.9%,2 7,100.0%,1 4,-12.5%,7,-20.0%,8,1 0
95341,70.0%,1 7,66.7%,1 0,-33.3%,6,-43.8%,9,1 6
95348,200.0%,2 1,133.3%,7,-25.0%,3,100.0%,4,2
95365,-20.0%,4,25.0%,5,-42.9%,4,0.0%,7,7
95369,137.5%,1 9,33.3%,8,200.0%,6,100.0%,2,1
95374,0.0%,4,0.0%,-,0.0%,-,0.0%,-,-
95388,166.7%,8,50.0%,3,0.0%,2,0.0%,2,2
96006,-37.5%,5,100.0%,8,100.0%,4,100.0%,2,1
96015,66.7%,1 5,28.6%,9,250.0%,7,0.0%,2,-
96054,14.3%,8,16.7%,7,20.0%,6,150.0%,5,2
96101,181.8%,9 3,43.5%,3 3,43.8%,2 3,23.1%,1 6,1 3
96104,66.7%,1 5,200.0%,9,0.0%,3,0.0%,3,3
96108,150.0%,1 0,100.0%,4,100.0%,2,0.0%,1,1
96110,0.0%,4,0.0%,-,0.0%,-,0.0%,-,-
96112,133.3%,7,0.0%,3,50.0%,3,100.0%,2,1
96115,500.0%,1 2,0.0%,2,0.0%,-,0.0%,-,-
96116,600.0%,7,0.0%,1,0.0%,1,0.0%,-,-
93512,0.0%,3,0.0%,3,0.0%,3,0.0%,3,3
93517,41.5%,9 2,54.8%,6 5,20.0%,4 2,34.6%,3 5,2 6
93529,18.4%,2 32,19.5%,1 96,17.1%,1 64,7.7%,1 40,1 30
93541,2.6%,3 9,31.0%,3 8,141.7%,2 9,20.0%,1 2,1 0
93546,79.1%,8 92,52.3%,4 98,66.0%,3 27,26.3%,1 97,1 56
96107,55.0%,3 1,25.0%,2 0,300.0%,1 6,-20.0%,4,5
96133,150.0%,5,100.0%,2,0.0%,1,0.0%,1,-
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year o,ver Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93426,14.5%,3 48,2.4%,3 04,18.8%,2 97,14.2%,2 50,2 19
93450,0.0%,7,40.0%,7,-28.6%,5,0.0%,7,-
93901,225.0%,1 3,0.0%,4,-20.0%,4,25.0%,5,4
93905,266.7%,2 2,100.0%,6,0.0%,3,0.0%,3,3
93906,425.0%,2 1,100.0%,4,0.0%,2,-33.3%,2,3
93907,29.3%,4 99,37.9%,3 86,122.2%,2 80,34.0%,1 26,9 4
93908,31.5%,4 05,22.2%,3 08,27.9%,2 52,26.3%,1 97,1 56
93920,3.4%,1 20,7.4%,1 16,12.5%,1 08,37.1%,9 6,7 0
93923,38.6%,"1 ,016",12.6%,7 33,24.7%,6 51,54.0%,5 22,3 39
93924,26.3%,7 11,8.9%,5 63,25.5%,5 17,15.7%,4 12,3 56
93925,0.0%,1 8,20.0%,1 8,66.7%,1 5,200.0%,9,3
93926,0.0%,6,-14.3%,6,40.0%,7,66.7%,5,3
93927,1.4%,7 2,18.3%,7 1,71.4%,6 0,45.8%,3 5,2 4
93930,200.0%,1 29,7.5%,4 3,48.1%,4 0,58.8%,2 7,1 7
93932,20.0%,1 2,0.0%,1 0,11.1%,1 0,350.0%,9,2
93933,127.3%,5 0,2100.0%,2 2,0.0%,1,-66.7%,1,3
93940,37.1%,3 03,27.7%,2 21,43.0%,1 73,49.4%,1 21,8 1
93950,166.7%,1 6,200.0%,6,100.0%,2,-50.0%,1,2
93953,67.1%,1 17,18.6%,7 0,51.3%,5 9,44.4%,3 9,2 7
93954,0.0%,3,0.0%,-,0.0%,-,0.0%,-,-
93955,266.7%,2 2,200.0%,6,0.0%,2,0.0%,-,-
93960,-4.2%,2 3,33.3%,2 4,63.6%,1 8,120.0%,1 1,5
93962,0.0%,2,0.0%,-,0.0%,-,0.0%,-,-
95004,88.9%,1 02,80.0%,5 4,42.9%,3 0,90.9%,2 1,1 1
95012,40.0%,2 8,81.8%,2 0,57.1%,1 1,0.0%,7,7
95039,300.0%,4,0.0%,1,0.0%,1,0.0%,1,-
94503,1350.0%,2 9,0.0%,2,-100.0%,-,0.0%,1,1
94508,24.7%,2 78,29.7%,2 23,97.7%,1 72,52.6%,8 7,5 7
94515,34.3%,4 15,33.2%,3 09,73.1%,2 32,61.4%,1 34,8 3
94558,41.6%,7 05,31.1%,4 98,76.7%,3 80,31.9%,2 15,1 63
94559,71.4%,6 0,29.6%,3 5,107.7%,2 7,116.7%,1 3,6
94567,-5.3%,1 42,7.1%,1 50,25.0%,1 40,19.1%,1 12,9 4
94574,16.7%,4 83,39.9%,4 14,73.1%,2 96,71.0%,1 71,1 00
94576,20.0%,1 8,0.0%,1 5,15.4%,1 5,8.3%,1 3,1 2
94599,120.0%,2 2,66.7%,1 0,200.0%,6,100.0%,2,1
95728,28.7%,4 39,16.8%,3 41,49.0%,2 92,44.1%,1 96,1 36
95945,21.7%,"3 ,350",32.6%,"2 ,752",12.4%,"2 ,075",12.4%,"1 ,846","1 ,643"
95946,40.9%,"1 ,388",52.5%,9 85,13.1%,6 46,14.2%,5 71,5 00
95949,10.0%,"4 ,216",19.1%,"3 ,833",5.6%,"3 ,218",16.3%,"3 ,046","2 ,619"
95959,10.8%,"3 ,987",21.5%,"3 ,598",9.7%,"2 ,961",18.5%,"2 ,698","2 ,276"
95960,1.9%,1 05,0.0%,1 03,17.0%,1 03,3.5%,8 8,8 5
95975,18.9%,3 58,23.4%,3 01,2.1%,2 44,13.3%,2 39,2 11
95977,21.6%,2 59,27.5%,2 13,16.8%,1 67,20.2%,1 43,1 19
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
96111,0.0%,2 5,8.7%,2 5,4.5%,2 3,4.8%,2 2,2 1
96161,18.3%,"5 ,332",32.6%,"4 ,509",36.6%,"3 ,401",37.6%,"2 ,489","1 ,809"
90620,96.2%,5 1,73.3%,2 6,-31.8%,1 5,4.8%,2 2,2 1
90621,103.8%,5 3,36.8%,2 6,-13.6%,1 9,-26.7%,2 2,3 0
90623,25.0%,1 0,14.3%,8,0.0%,7,0.0%,7,7
90630,61.5%,4 2,18.2%,2 6,-4.3%,2 2,-20.7%,2 3,2 9
90631,37.8%,4 34,16.7%,3 15,5.5%,2 70,28.0%,2 56,2 00
90680,190.9%,3 2,10.0%,1 1,-16.7%,1 0,33.3%,1 2,9
90720,128.6%,1 6,75.0%,7,33.3%,4,-57.1%,3,7
90740,55.6%,1 4,0.0%,9,12.5%,9,-11.1%,8,9
90742,150.0%,5,0.0%,2,0.0%,2,0.0%,2,2
90743,33.3%,4,50.0%,3,0.0%,2,0.0%,-,-
92602,274.2%,1 16,72.2%,3 1,5.9%,1 8,142.9%,1 7,7
92603,373.5%,1 61,70.0%,3 4,17.6%,2 0,30.8%,1 7,1 3
92604,300.0%,4 0,150.0%,1 0,300.0%,4,0.0%,1,1
92606,266.7%,1 1,-25.0%,3,300.0%,4,-66.7%,1,3
92610,174.7%,2 28,69.4%,8 3,40.0%,4 9,118.8%,3 5,1 6
92612,1133.3%,3 7,200.0%,3,0.0%,1,0.0%,-,-
92614,266.7%,2 2,50.0%,6,33.3%,4,0.0%,3,3
92617,100.0%,2,0.0%,1,0.0%,1,0.0%,-,-
92618,308.8%,2 78,223.8%,6 8,5.0%,2 1,233.3%,2 0,6
92620,248.9%,1 57,136.8%,4 5,5.6%,1 9,38.5%,1 8,1 3
92624,100.0%,1 4,75.0%,7,0.0%,4,33.3%,4,3
92625,172.7%,3 0,83.3%,1 1,-14.3%,6,0.0%,7,7
92626,85.7%,1 3,16.7%,7,50.0%,6,-42.9%,4,7
92627,183.3%,3 4,140.0%,1 2,-54.5%,5,-31.3%,1 1,1 6
92629,131.8%,5 1,69.2%,2 2,85.7%,1 3,0.0%,7,7
92630,296.6%,2 30,114.8%,5 8,8.0%,2 7,13.6%,2 5,2 2
92637,642.9%,5 2,250.0%,7,-33.3%,2,0.0%,3,3
92646,205.9%,5 2,30.8%,1 7,8.3%,1 3,71.4%,1 2,7
92647,245.5%,3 8,83.3%,1 1,-14.3%,6,16.7%,7,6
92648,311.1%,3 7,28.6%,9,-30.0%,7,-23.1%,1 0,1 3
92649,244.4%,3 1,0.0%,9,-10.0%,9,11.1%,1 0,9
92651,64.5%,9 69,26.1%,5 89,24.5%,4 67,24.6%,3 75,3 01
92653,220.0%,8 0,66.7%,2 5,0.0%,1 5,-11.8%,1 5,1 7
92655,300.0%,1 2,50.0%,3,0.0%,2,100.0%,2,1
92656,197.3%,2 23,82.9%,7 5,-2.4%,4 1,10.5%,4 2,3 8
92657,108.8%,2 61,21.4%,1 25,10.8%,1 03,66.1%,9 3,5 6
92660,153.6%,7 1,64.7%,2 8,41.7%,1 7,20.0%,1 2,1 0
92661,700.0%,1 6,-50.0%,2,-20.0%,4,66.7%,5,3
92662,0.0%,3,200.0%,3,0.0%,1,0.0%,1,1
92663,106.7%,3 1,66.7%,1 5,12.5%,9,0.0%,8,8
92672,212.8%,2 94,104.3%,9 4,58.6%,4 6,16.0%,2 9,2 5
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92673,284.9%,4 58,153.2%,1 19,46.9%,4 7,18.5%,3 2,2 7
92675,196.0%,2 99,55.4%,1 01,6.6%,6 5,15.1%,6 1,5 3
92676,-4.5%,5 53,4.3%,5 79,3.7%,5 55,15.8%,5 35,4 62
92677,147.2%,4 40,42.4%,1 78,31.6%,1 25,25.0%,9 5,7 6
92679,54.2%,"2 ,186",31.5%,"1 ,418",28.3%,"1 ,078",90.5%,8 40,4 41
92683,371.1%,1 79,72.7%,3 8,29.4%,2 2,-5.6%,1 7,1 8
92688,296.1%,6 14,154.1%,1 55,13.0%,6 1,25.6%,5 4,4 3
92691,283.3%,6 9,63.6%,1 8,-8.3%,1 1,-25.0%,1 2,1 6
92692,264.3%,1 53,75.0%,4 2,-22.6%,2 4,14.8%,3 1,2 7
92694,317.6%,5 22,145.1%,1 25,82.1%,5 1,75.0%,2 8,1 6
92701,34.8%,8 9,4.8%,6 6,-6.0%,6 3,-13.0%,6 7,7 7
92703,35.2%,1 23,2.2%,9 1,-4.3%,8 9,0.0%,9 3,9 3
92704,87.4%,1 63,8.7%,8 7,-2.4%,8 0,-2.4%,8 2,8 4
92705,112.1%,1 23,52.6%,5 8,0.0%,3 8,72.7%,3 8,2 2
92706,91.7%,2 3,50.0%,1 2,33.3%,8,0.0%,6,6
92707,45.9%,1 08,-1.3%,7 4,-9.6%,7 5,-8.8%,8 3,9 1
92708,255.6%,6 4,50.0%,1 8,-20.0%,1 2,7.1%,1 5,1 4
92780,566.7%,4 0,100.0%,6,-62.5%,3,14.3%,8,7
92782,209.1%,6 8,57.1%,2 2,27.3%,1 4,120.0%,1 1,5
92801,134.5%,6 8,31.8%,2 9,-8.3%,2 2,-7.7%,2 4,2 6
92802,91.7%,2 3,0.0%,1 2,9.1%,1 2,-15.4%,1 1,1 3
92804,129.4%,7 8,78.9%,3 4,-5.0%,1 9,-13.0%,2 0,2 3
92805,160.7%,7 3,-3.4%,2 8,3.6%,2 9,27.3%,2 8,2 2
92806,342.9%,3 1,40.0%,7,0.0%,5,-37.5%,5,8
92807,175.4%,3 14,56.2%,1 14,10.6%,7 3,53.5%,6 6,4 3
92808,347.9%,3 18,82.1%,7 1,34.5%,3 9,141.7%,2 9,1 2
92821,106.9%,2 11,39.7%,1 02,2.8%,7 3,26.8%,7 1,5 6
92823,81.3%,1 16,14.3%,6 4,12.0%,5 6,22.0%,5 0,4 1
92831,95.2%,4 1,75.0%,2 1,0.0%,1 2,0.0%,1 2,1 2
92832,75.0%,2 1,50.0%,1 2,14.3%,8,-50.0%,7,1 4
92833,125.0%,8 1,56.5%,3 6,-8.0%,2 3,4.2%,2 5,2 4
92835,78.9%,3 4,58.3%,1 9,-7.7%,1 2,-7.1%,1 3,1 4
92840,360.0%,4 6,100.0%,1 0,-28.6%,5,-12.5%,7,8
92841,616.7%,4 3,50.0%,6,100.0%,4,0.0%,2,2
92843,300.0%,4 4,57.1%,1 1,-12.5%,7,-20.0%,8,1 0
92844,340.0%,2 2,66.7%,5,200.0%,3,0.0%,1,1
92845,600.0%,7,0.0%,1,0.0%,1,0.0%,-,-
92861,140.0%,1 2,25.0%,5,33.3%,4,200.0%,3,1
92865,140.0%,1 2,-16.7%,5,20.0%,6,25.0%,5,4
92866,333.3%,1 3,50.0%,3,-33.3%,2,0.0%,3,3
92867,225.7%,1 14,169.2%,3 5,44.4%,1 3,12.5%,9,8
92868,142.9%,1 7,40.0%,7,66.7%,5,-62.5%,3,8
92869,202.9%,1 03,21.4%,3 4,27.3%,2 8,-4.3%,2 2,2 3
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 21,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92870,84.6%,4 8,73.3%,2 6,36.4%,1 5,-26.7%,1 1,1 5
92886,213.3%,4 23,51.7%,1 35,0.0%,8 9,50.8%,8 9,5 9
